TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAWPP
738610 ,19.3 ,17 ,54.9 ,27.9 ,20.2,-13.2 ,-41.5 ,8.9
738730 ,19.3 ,17 ,55.8 ,26.8 ,21.7,-13.2 ,-41.6 ,8.8
738820 ,19.3 ,17 ,55.8 ,27.9 ,23.1,-13.0 ,-41.7 ,8.9
738910 ,19.3 ,17 ,54.9 ,25.8 ,23.1,-12.9 ,-41.7 ,9.0
739030 ,24.3 ,22 ,59.4 ,25.8 ,21.7,-11.6 ,-42.3 ,9.0
739120 ,30.2 ,35 ,61.2 ,26.8 ,21.7,-11.1 ,-42.4 ,9.2
739210 ,32.7 ,39 ,60.3 ,26.8 ,20.2,-10.6 ,-42.4 ,9.0
739330 ,31.9 ,39 ,59.4 ,29.0 ,21.7,-10.6 ,-42.2 ,8.8
739420 ,33.6 ,37 ,57.6 ,29.0 ,21.7,-10.7 ,-42.2 ,8.7
739510 ,31.0 ,35 ,58.5 ,27.9 ,20.2,-10.7 ,-42.1 ,8.7
739630 ,32.7 ,35 ,60.3 ,27.9 ,21.7,-10.7 ,-42.0 ,8.5
739720 ,32.7 ,35 ,60.3 ,27.9 ,21.7,-10.8 ,-41.8 ,8.4
739810 ,34.4 ,35 ,59.4 ,29.0 ,23.1,-10.8 ,-41.7 ,8.3
739930 ,36.9 ,35 ,60.3 ,31.1 ,23.1,-10.7 ,-41.4 ,8.1
740020 ,36.9 ,35 ,60.3 ,30.1 ,21.7,-10.7 ,-41.3 ,7.9
740110 ,39.4 ,35 ,64.8 ,34.4 ,26.0,-11.3 ,-41.2 ,7.5
740230 ,36.9 ,35 ,64.8 ,48.3 ,39.1,-11.7 ,-41.2 ,6.2
740320 ,35.2 ,35 ,64.8 ,49.4 ,43.4,-11.8 ,-41.0 ,5.1
740410 ,33.6 ,35 ,65.7 ,46.2 ,44.9,-11.2 ,-40.7 ,3.7
740500 ,31.0 ,36 ,66.6 ,44.0 ,43.4,-10.2 ,-40.4 ,2.7
740620 ,30.2 ,39 ,67.5 ,44.0 ,43.4,-10.1 ,-40.5 ,2.3
740710 ,29.4 ,40 ,67.5 ,44.0 ,42.0,-10.4 ,-40.6 ,2.3
740800 ,28.5 ,40 ,68.4 ,46.2 ,43.4,-10.7 ,-40.7 ,2.5
740920 ,27.7 ,42 ,69.3 ,45.1 ,43.4,-10.9 ,-40.7 ,2.4
740990 ,27.7 ,42 ,69.3 ,44.0 ,43.4,-10.8 ,-40.7 ,2.6
741100 ,26.0 ,42 ,70.2 ,59.1 ,47.8,-10.7 ,-41.2 ,3.3
741220 ,24.3 ,59 ,72.9 ,54.8 ,42.0,-12.4 ,-41.4 ,4.3
741310 ,21.8 ,61 ,73.8 ,54.8 ,37.6,-12.0 ,-41.1 ,4.0
741400 ,18.4 ,61 ,73.8 ,52.6 ,34.7,-11.5 ,-41.5 ,4.5
741520 ,19.3 ,61 ,72.9 ,49.4 ,31.8,-11.7 ,-41.6 ,4.9
741610 ,18.4 ,59 ,73.8 ,50.5 ,30.4,-12.0 ,-41.8 ,5.2
741700 ,18.4 ,59 ,73.8 ,48.3 ,28.9,-12.2 ,-41.8 ,5.5
741820 ,16.8 ,56 ,73.8 ,48.3 ,28.9,-12.4 ,-41.8 ,6.2
741910 ,17.6 ,51 ,73.8 ,46.2 ,28.9,-13.0 ,-41.7 ,6.6
742000 ,16.8 ,45 ,73.8 ,47.3 ,28.9,-13.1 ,-41.6 ,6.7
742120 ,16.8 ,31 ,71.1 ,46.2 ,27.5,-12.7 ,-41.6 ,6.5
742210 ,16.8 ,23 ,69.3 ,46.2 ,26.0,-12.1 ,-41.5 ,6.1
742300 ,21.8 ,20 ,67.5 ,41.9 ,26.0,-11.5 ,-41.1 ,6.0
742420 ,23.5 ,18 ,68.4 ,41.9 ,26.0,-11.1 ,-41.3 ,6.3
742510 ,26.0 ,17 ,68.4 ,41.9 ,26.0,-11.1 ,-41.2 ,6.4
742600 ,26.0 ,17 ,67.5 ,41.9 ,26.0,-11.6 ,-41.3 ,6.6
742720 ,24.3 ,15 ,66.6 ,41.9 ,26.0,-12.3 ,-41.5 ,6.9
742810 ,23.5 ,15 ,67.5 ,40.8 ,26.0,-12.4 ,-41.5 ,7.0
742900 ,23.5 ,14 ,67.5 ,40.8 ,26.0,-12.5 ,-41.4 ,7.0
743020 ,23.5 ,13 ,67.5 ,41.9 ,27.5,-12.9 ,-41.3 ,7.1
743110 ,22.6 ,13 ,71.1 ,41.9 ,27.5,-13.8 ,-41.1 ,7.4
743200 ,19.3 ,13 ,70.2 ,41.9 ,26.0,-13.8 ,-41.2 ,7.6
743290 ,13.4 ,14 ,69.3 ,40.8 ,26.0,-14.5 ,-40.9 ,7.5
743410 ,12.6 ,13 ,70.2 ,37.6 ,24.6,-14.8 ,-40.6 ,7.6
743500 ,12.6 ,13 ,67.5 ,36.5 ,26.0,-14.8 ,-40.6 ,7.6
743590 ,12.6 ,13 ,67.5 ,36.5 ,26.0,-15.2 ,-40.6 ,7.5
743710 ,12.6 ,13 ,67.5 ,35.4 ,24.6,-15.2 ,-40.6 ,7.5
743800 ,13.4 ,14 ,69.3 ,35.4 ,24.6,-14.9 ,-40.7 ,7.5
743890 ,12.6 ,13 ,68.4 ,34.4 ,24.6,-14.6 ,-40.7 ,7.6
744010 ,15.1 ,15 ,66.6 ,32.2 ,26.0,-12.4 ,-41.4 ,7.0
744100 ,15.1 ,14 ,57.6 ,30.1 ,23.1,-11.5 ,-41.5 ,6.7
744190 ,15.9 ,13 ,57.6 ,30.1 ,21.7,-11.8 ,-41.1 ,6.8
744310 ,15.1 ,13 ,56.7 ,31.1 ,23.1,-12.0 ,-41.3 ,6.8
744400 ,15.1 ,13 ,56.7 ,31.1 ,23.1,-12.1 ,-41.3 ,6.7
744490 ,15.9 ,14 ,55.8 ,31.1 ,23.1,-12.2 ,-41.4 ,6.5
744610 ,15.9 ,13 ,59.4 ,32.2 ,26.0,-12.5 ,-41.2 ,6.6
744700 ,17.6 ,15 ,62.1 ,33.3 ,24.6,-12.9 ,-41.1 ,6.9
744790 ,17.6 ,16 ,62.1 ,33.3 ,26.0,-12.9 ,-41.1 ,6.9
744910 ,20.1 ,16 ,63.0 ,35.4 ,24.6,-13.2 ,-40.4 ,5.9
745000 ,21.0 ,14 ,60.3 ,39.7 ,31.8,-12.2 ,-40.2 ,4.0
745090 ,21.0 ,14 ,59.4 ,39.7 ,33.3,-12.2 ,-39.7 ,1.2
745210 ,20.1 ,13 ,61.2 ,48.3 ,36.2,-12.5 ,-39.6 ,0.9
745300 ,20.1 ,14 ,61.2 ,47.3 ,37.6,-12.5 ,-39.6 ,1.0
745390 ,21.0 ,15 ,60.3 ,44.0 ,37.6,-12.3 ,-39.6 ,1.0
745480 ,20.1 ,13 ,61.2 ,45.1 ,39.1,-12.3 ,-39.7 ,0.9
745600 ,21.0 ,14 ,60.3 ,45.1 ,37.6,-11.9 ,-39.8 ,1.2
745690 ,21.0 ,13 ,60.3 ,43.0 ,34.7,-11.6 ,-40.0 ,2.0
745780 ,20.1 ,13 ,60.3 ,41.9 ,33.3,-11.7 ,-40.0 ,2.1
745900 ,20.1 ,13 ,60.3 ,39.7 ,33.3,-11.7 ,-40.0 ,2.4
